"id_1","id_2","cid_1","cid_2","source_1","source_2","name_1","number_of_votes_1","created_at_1","name_2","number_of_votes_2","created_at_2","service_options_1","service_options_2","brand_id_1","brand_id_2"
"ChIJl8zSjD49rjsRp64R92bYamo","19515358","0x3bae3d3e8cd2cc97:0x6a6ad866f711aea7","19515358","gmaps_v2","zomato","D-Zaprino","20","1699615207","D-Zaprino","4015","1688639100","[]","[dining, delivery]","dzaprino","N_A"
"ChIJmQd8yK89rjsRJ03JynqhdGs","18865098","0x3bae3dafc87c0799:0x6b74a17acac94d27","18865098","gmaps_v2","zomato","Nandini Swadista Loka","1534","1699615207","Nandini Swadista Loka","198","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJD7tCwY4XrjsRRqy2MqfDFXc","19941979","0x3bae178ec142bb0f:0x7715c3a732b6ac46","19941979","gmaps_v2","zomato","Wow! Momo","49","1699615207","WOW! Momo","390","1688639100","[]","[dining, delivery]","wowmomo","zomato_wow!_momo"
"ChIJzT2_hz09rjsRo3AgEWLWA-4","19101010","0x3bae3d3d87bf3dcd:0xee03d662112070a3","19101010","gmaps_v2","zomato","Coffee Santhe","1199","1699615207","Coffee Santhe","1220","1688639100","[]","[delivery]","business","N_A"
"ChIJH5hwJsU9rjsRZ9BUenLEVAc","52645","0x3bae3dc52670981f:0x754c4727a54d067","52645","gmaps_v2","zomato","Swathi Greenland","3877","1699615207","Swathi Greenland","1699","1688639100","[]","[dining, delivery]","swathigrouprestaurants","N_A"
"ChIJx24V03w9rjsRhq-_zTUmHMg","61443","0x3bae3d7cd3156ec7:0xc81c2635cdbfaf86","61443","gmaps_v2","zomato","Aastha Bengali Mess","584","1699615207","Aastha Bengali Mess","8652","1688639100","[]","[dining, delivery]",,"zomato_aastha_bengali_mess"
"ChIJ65eS-DMWrjsRO5ry2tm1ewA","18414352","0x3bae1633f89297eb:0x7bb5d9daf29a3b","18414352","gmaps_v2","zomato","Donne Biriyani Angadi Mane","1000","1699615207","Donne Biryani Angadi Mane","2935","1688639100","[]","[dining, delivery]",,"zomato_donne_biryani_angadi_mane"
"ChIJLTN4VaI9rjsRiZl9tOByo8k","19636272","0x3bae3da25578332d:0xc9a372e0b47d9989","19636272","gmaps_v2","zomato","New Sukhi Sagar","412","1699615207","New Sukhi Sagar","432","1688639100","[]","[delivery]",,"N_A"
"ChIJb39Y2ekXrjsRw_WfwfUHj64","19930530","0x3bae17e9d9587f6f:0xae8f07f5c19ff5c3","19930530","gmaps_v2","zomato","CHOCODAINTY","1","1687847039","Chocodainty","176","1688639100","[]","[delivery]","chocodainty","N_A"
"ChIJJwLHqCMWrjsR0R135BQhnOw","51240","0x3bae1623a8c70227:0xec9c2114e4771dd1","51240","gmaps_v2","zomato","Rajdhani","3249","1699615207","Rajdhani","3566","1688639100","[]","[dining, delivery]","rajdhani","N_A"
