id,name,lat,lng,category,number_of_votes,source,date,created_at,reviews_per_day,brand_id,brand_name
19175286,Potful - Claypot Biryanis,13.0353921782,77.5674140453,restaurant,6191,zomato,1397932200.0,1688639100,2.12963641385877e-05,zomato_potful_-_claypot_biryanis,Potful - Claypot Biryanis
19824709,Leon's Burgers & Wings,12.9974135427,77.547723949,restaurant,6150,zomato,1397932200.0,1688639100,2.115532861449109e-05,zomato_leon's_burgers_&_wings,Leon's Burgers & Wings
ChIJ4bDsu3QXrjsRlRh3r-aHSGo,California Burrito Mexican Grill @ Sadashivanagar,13.005186080932615,77.57861328125,restaurant,90,gmaps_v2,1695303418.0,1699615207,2.0873006540904484e-05,californiaburrito,California Burrito
ChIJd_MrqQk9rjsRoSsgxcZSM-0,McDonald's,12.988658905029297,77.53741455078125,restaurant,4823,gmaps_v2,1468038584.0,1699615207,2.0826799948628667e-05,mcdelivery,McDonald's
19265757,Sardarji Londonwaley,12.9855865591,77.5490435958,restaurant,5976,zomato,1397932200.0,1688639100,2.055678760978841e-05,zomato_sardarji_londonwaley,Sardarji Londonwaley
ChIJV1Uxuy8WrjsRPO0s85VYiqQ,Tanishq Jewellery - Bangalore - Malleswaram,12.991432189941406,77.57128143310547,jewelry_store,2909,gmaps_v2,1545630918.0,1687847039,2.0454783744242327e-05,tanishq,Tanishq
ChIJo9_ZwCAXrjsR1eHmtSpaAnI,Chaayos Cafe Mantri mall,12.991988182067873,77.57083892822266,coffee_shop,211,gmaps_v2,1677418254.0,1687847039,2.0232462362585863e-05,chaayos,Chaayos
ChIJBVhp5_o9rjsRZBsPC-8CqP0,Domino's Pizza,12.973528861999512,77.5517578125,restaurant,4111,gmaps_v2,1496215008.0,1699615207,2.0211386322193325e-05,dominos,Domino's Pizza
ChIJ5XtxoG89rjsRW7KIr7REqeU,KFC,13.024654388427734,77.54855346679688,restaurant,4111,gmaps_v2,1487312416.0,1699615207,1.9363852828482128e-05,kfc,KFC
ChIJSVqQ-HUXrjsR8yzlpz5a6jw,KFC,12.991817474365234,77.57118225097656,restaurant,4172,gmaps_v2,1483340373.0,1699615207,1.929027026787592e-05,kfc,KFC
ChIJuXkfsCc9rjsR_D9j4W5-NLo,KFC,13.040590286254885,77.518310546875,restaurant,3676,gmaps_v2,1507377028.0,1699615207,1.9122112054546663e-05,kfc,KFC
18939790,Vijayalakshmi Veg,13.0009097162,77.5693432242,restaurant,5555,zomato,1397932200.0,1688639100,1.910859356967447e-05,zomato_vijayalakshmi_veg,Vijayalakshmi Veg
ChIJG8tsv3g9rjsRR9CQ8jawkfI,Empire Restaurant - Orion Mall,13.01173496246338,77.55477905273438,restaurant,3316,gmaps_v2,1524892091.0,1699615207,1.897859925987126e-05,hotelempire,Hotel Empire
ChIJY452-fEXrjsRM_Vgxkg-PJc,Dindigul Thalappakatti Restaurant,13.031424522399902,77.57007598876953,restaurant,1195,gmaps_v2,1635584082.0,1699615207,1.8662798756073702e-05,thalappakatti,Dindigul Thalappakatti Restaurant
ChIJaa5AQcYXrjsRJJnnxoQP32s,Reliance SMART Bazaar,12.997100830078123,77.57374572753906,supermarket,580,gmaps_v2,1668240735.0,1699615207,1.8486366878142204e-05,reliancesmartbazaar,Reliance SMART
ChIJtVLrmdIXrjsR7HKHRy40nqU,New BEL Road SOCIAL,13.03674602508545,77.56597900390625,restaurant,441,gmaps_v2,1675004848.0,1699615207,1.791928350171568e-05,socialoffline,Social Offline
ChIJH5hwJsU9rjsRZ9BUenLEVAc,Swathi Greenland,12.97793960571289,77.54263305664062,restaurant,3877,gmaps_v2,1481208813.0,1699615207,1.7751311804543597e-05,swathigrouprestaurants,Swathi
ChIJRUa3vSUWrjsR-pv3UihhGeo,By 2 Coffee-Temple Meals,12.998320579528809,77.56958770751953,restaurant,3842,gmaps_v2,1482659533.0,1699615207,1.7708686429652906e-05,by2coffee,by2coffee
